questionText,options[0],options[1],options[2],options[3],correctAnswer
Earth has an equatorial circumference of __________.,"A. 34,902 miles","B. 24,902 miles","C. 44, 902 miles",D. None of these,"B. 24,902 miles"
Total area of the earth is _________ million km².,A. 510,B. 492,C. 392,D. 692,A. 510
When All Pakistan Ulema council was founded?,A. 1980,B. 1989,C. 1990,D. 1998,C. 1990
Sonoran Desert is located in?,A. Brazil,B. Namibia,C. China,D. North America,D. North America
which type of milk is generally lowest in fat?,A. Full cream,B. Powered,C. Fried,D. Skimmed,D. Skimmed
Which country has two capitals?,A. France,B. Bolivia,C. Germany,D. Italy,B. Bolivia
Pravda was the newspaper of ___________?,A. America,B. China,C. Germany,D. Soviet union,D. Soviet union
"Africa’s tallest mountain, the Mount Kilimanjaro is located in which country?",A. South Africa,B. Tanzania,C. Zimbabwe,D. Nigeria,B. Tanzania
Which city becomes world’s highest baseball field?,"A. Skardu, Pakistan","B. Tokyo, Japan","C. Leadville, Colorado","D. La paz, Bolivia","A. Skardu, Pakistan"
How Many Dams are in Pakistan?,A. 100 Dams,B. 150 Dams,C. 200 Dams,D. 250 Dams,B. 150 Dams
Where is the library of mistakes?,A. London,B. EdinBurgh,C. Dublin,D. Leeds,B. EdinBurgh
When was Rocky Mountain National Park Act was signed by President Woodrow Wilson?,A. 25 December 1915,B. 26 January 1915,C. 27 February 1915,D. None of these,B. 26 January 1915
What was the old name of china?,A. Xiamen,B. Hefei,C. Macau,D. Qin,D. Qin
Which country is known as Sino?,A. Cuba,B. Fiji,C. China,D. Chad,C. China
What is the meaning of Siachen Glacier?,A. High glacier,B. Abundance of roses,C. Pure glacier,D. Blue glacier,B. Abundance of roses
The right to voting in U.K was extended to woman in ____________?,A. 1928,B. 1929,C. 1930,D. 1931,A. 1928
The Residential place of the Britain Prime Minister is at _____________?,A. 10-Downing Street,B. White House,C. Black House,D. None of these,A. 10-Downing Street
King John granted Magna Carta to the Barons in the year ___________?,A. 1215,B. 1315,C. 1415,D. 1515,A. 1215
First Prime Minister of Britain who lead the govt of Britain for over twenty years?,A. Robert Walpole,B. Lord Morley,C. Munro,D. None of these,A. Robert Walpole
British Parliament is also called the ______________?,A. Father parliament,B. Mother parliament,C. Brother parliament,D. Sister parliament,B. Mother parliament
In which year Zimbabwe gained independence?,A. 1971,B. 1987,C. 1980,D. 1977,C. 1980
Pakistan has the ________ highest number of diabetic patients in the world.,A. First,B. Second,C. Third,D. Fourth,D. Fourth
Birth anniversary of Mahatma Gandhi is celebrated on?,A. 2 October,B. 2 November,C. 2 December,D. 1 November,A. 2 October
Where is the headquarter of The Global Fund to Fight AIDS?,A. Vienna,B. Geneva,C. New York,D. London,B. Geneva
Bloomberg news agency belongs to which country?,A. United States,B. France,C. UK,D. None of these,A. United States
US President during World war 1 was?,A. Franklin Roosevelt,B. Wodrow Wilson,C. George Washington,D. None of these,B. Wodrow Wilson
Which country is the world’s oldest surviving federation?,A. Italy,B. Russia,C. Great Britain,D. United States,D. United States
Unesco was founded in __________?,A. 1945,B. 1947,C. 1948,D. 1949,A. 1945
The ” Oscars of Science  ” was first awarded in ________.,A. 2008,B. 2010,C. 2012,D. 2014,C. 2012
Brics was founded in ___________?,A. 1996,B. 1999,C. 2004,D. 2006,D. 2006
A person can recognize a sound in as a little as __________?,A. 0.05 seconds,B. 0.06 seconds,C. 0.07 seconds,D. 0.08 seconds,A. 0.05 seconds
The most common name in the world is __________.,A. John,B. Muhammad,C. Abraham,D. David,B. Muhammad
The oldest large-scale film studio in the world is __________?,A. Paramount Pictures,B. Babelsberg Film Studio,C. Hengdian World Studio,D. Metro-Goldwyn-Mayer,B. Babelsberg Film Studio
Name of Lower House of Russian federation legislation?,A. Supreme Soviet,B. Federation Council,C. State Duma,D. House of representatives,C. State Duma
Amazon tropical rainforest is also known as?,A. Boreal,B. Selvas,C. Tundra,D. Conifers,B. Selvas
Which animal is depicted on the logo of WWF (World Wide Fund for Nature)?,A. Snow Leopard,B. Gorilla,C. Lion,D. Panda,D. Panda
Which of following is youngest country of Europe?,A. Switzerland,B. Belgium,C. Kosovo,D. Sweden,C. Kosovo
The Black Mountains is located in:,A. France,B. Germany,C. Canada,D. Pakistan,B. Germany
Which Gas was first used in World War 1?,A. Helium,B. Hydrogen,C. Chlorine,D. Nitrogen,C. Chlorine
The book “Post American World” is written by _________?,A. Michal Chosudovsky,B. Mark Taliano,C. Brzezinski,D. Fareed Zikriya,D. Fareed Zikriya
The Five star movement is a political party in ___________?,A. Turkey,B. Norway,C. Italy,D. Canada,C. Italy
Guantanamo Bay is located in _______.,A. USA,B. Tanzania,C. Cuba,D. Mozambique,C. Cuba
Switzerland of the middle East is _____________?,A. Jordon,B. Iran,C. Tajikistan,D. Lebanon,D. Lebanon
The biggest Island of Indonesia ___________?,A. Sulawesi,B. Java,C. Seram,D. Sumatra,D. Sumatra
“Turin” was first capital of which country before her current capital?,A. Italy,B. Germany,C. Switzerland,D. Nepal,A. Italy
In which country is the Great Slave Lake?,A. USA,B. Canada,C. South Africa,D. Iraq,B. Canada
How many total number province in Afghanistan?,A. 28,B. 31,C. 34,D. 37,C. 34
Glasgow is the sea port of which country?,A. England,B. Germany,C. France,D. Iran,A. England
There are ___________ rings in the symbol (logo) of Olympic games that represents continents of the world.,A. 5,B. 6,C. 7,D. 8,A. 5
What is the motto of Olympic Games?,A. There’s no traffic on the extra mile,B. Fast and Furious,C. Together stronger,"D. Faster, higher, stronger","D. Faster, higher, stronger"
Which of the following is coldest capital city of the world?,A. New Delhi,B. Ulan Baatar,C. Islamabad,D. Riyadh,B. Ulan Baatar
Kot Diji Fort is located in ____________?,A. Khairpur,B. Karachi,C. Badin,D. Shikarpur,A. Khairpur
Grasslands in Australia are called?,A. Downs,B. Pampas,C. Steppes,D. Prairies,A. Downs
Who discovered China?,A. Christopher Columbs,B. Vasco De Gama,C. Ibn Batuta,D. Morco Polo,D. Morco Polo
‘Leviathan’ is a famous book of Thomas Hobbes written in _________.,A. 1641,B. 1651,C. 1671,D. None of these,B. 1651
Which International Organization has been honored Noble Prize 3 times?,A. International Labour Orgnization,B. Amnesty International,C. United Nation’s Children Fund,D. International Committee for Red Cross (ICRC),D. International Committee for Red Cross (ICRC)
Which of following political Party is oldest party in the UK?,A. Labour Party,B. Conservative Party,C. Liberal Party,D. Green Party,B. Conservative Party
When Labour Party of UK was established?,A. 1900,B. 1901,C. 1902,D. 1903,A. 1900
Quebec was the former colony of __________?,A. Italy,B. Britain,C. Spain,D. France,D. France
The researchers of which country have developed renewable energy storage devices?,A. Pakistan,B. India,C. UK,D. None of these,C. UK
The world’s oldest known natural pearl has recently discovered in ____________?,A. Tristan Da Cunha,B. New Guinea,C. Abu Dhabi,D. None of these,C. Abu Dhabi
Which is oldest stock exchange in Asia?,A. Tokyo,B. Bejing,C. Mumbai,D. Karachi,C. Mumbai
The newest internationally recognized country in the world is ____________?,A. Kosovo,B. East Timor,C. North Sudan,D. South Sudan,D. South Sudan
Which airline compeleted test of longest non-stop passenger flight?,A. Qatar Airways,B. Cathay Pacific,C. Qantas,D. Emirates,C. Qantas
The GOP was founded in ____________?,A. 1854,B. 1850,C. 1855,D. 1853,A. 1854
1st women president of UNGA was?,A. José Arce,B. Luis Padilla Nervo,C. Oswaldo Aranha,D. Vijaya Lakshmi Pandit,D. Vijaya Lakshmi Pandit
Who was 1st UNGA president?,A. Paul-Henri Spaak,B. Oswaldo Aranha,C. José Arce,D. Herbert Vere Evatt,A. Paul-Henri Spaak
What is the basic element of Education system?,A. Student,B. Assessment,C. Instructor,D. Curriculum,C. Instructor
Which country has the briefest constitution the world?,A. Pakistan,B. Iran,C. Turkey,D. USA,D. USA
Which country is going to give online tourist visa for the first time?,A. Pakistan,B. China,C. USA,D. Saudi Arabia,D. Saudi Arabia
Nomadic people living in Central Asia were called?,A. Huns,B. Attalis,C. Mongols,D. Vass,A. Huns
In which year first one day international  cricket match was played?,A. 1960,B. 1970,C. 1971,D. 1975,C. 1971
How many gods are there in Zoroastrianism?,A. One,B. Two,C. Three,D. None of these,A. One
What is the meaning of Shiva?,A. The helper,B. The destroyer,C. The creator,D. None of these,B. The destroyer
What is the meaning of Vishnu?,A. The destroyed,B. The preserver,C. The image of god,D. None of these,B. The preserver
What is the meaning of Brahma?,A. The preserver,B. The destroyer,C. The creator,D. None of these,C. The creator
Religion which believes that Hazrat Uzair (A.S) is the son of Allah?,A. Zoroastrian,B. Majusi,C. Jew,D. None of these,C. Jew
What was the religion of Persian people before Islam?,A. Judaism,B. Hanfa,C. Zoroastrian,D. None of these,C. Zoroastrian
The most ancient city of South Asia is?,A. Lahore,B. Peshawar,C. Ghazni,D. Karachi,B. Peshawar
"In which fort Raja Dahir’s wife fled with 15000 troops from,where she challenged Mohammad Bin Qasim?",A. Potwar,B. Kirthar,C. Rawar,D. None of these,C. Rawar
The most famous court poet of Akbar was:,A. Raskhan,B. Surdas,C. Abdur Rahain Khan-i-Khanah,D. None of these,C. Abdur Rahain Khan-i-Khanah
Amir Khusro’s name is associated with the invention of?,A. Sitar,B. Tabla,C. Shehnai,D. None of these,A. Sitar
Which two countries south Asia’s first cross-border oil pipeline?,A. China-Nepal,B. India-Nepal,C. Pakistan-China,D. Turkey-India,B. India-Nepal
What is the literal meaning of word philosophy?,A. Love of wisdom,B. love of God,C. love of nature,D. love of knowledge,A. Love of wisdom
Religion Shintoism is followed in which of the following countries?,A. China,B. Russia,C. Japan,D. Nepal,C. Japan
In which sport do teams compete for the Dunhill Cup?,A. Snooker,B. Golf,C. Table Tennis,D. Badminton,B. Golf
Adolf Hitler became chancellor of Germany in __________?,A. 1931,B. 1932,C. 1933,D. 1934,C. 1933
The All India Muslim Ladies Conference was founded in the year _________?,A. 1912,B. 1913,C. 1907,D. 1915,C. 1907
French author Alexander Dumas wrote which of the following?,A. Count of Monte Cristo,B. The Three Musketeers,C. Both of the above,D. None of the above,C. Both of the above
Charles Dickens is the author of _______?,A. Oliver Twist,B. The Haunted man and the Ghost’s Bargain,C. A Child’s History of England,D. All of these,D. All of these
The Roman numeral for the number “1000” is ____?,A. L,B. C,C. D,D. M,D. M
The Roman numeral for the number “500” is ____?,A. L,B. C,C. D,D. M,C. D
The Roman numeral for the number “100” is ____?,A. L,B. C,C. D,D. M,B. C
The Roman numeral for the number “50” is ____?,A. L,B. C,C. D,D. M,A. L
“Bharat Ratna” is the __________ award of India?,A. Military,B. Civilian,C. Academic,D. Political,B. Civilian
“Param Vir Chakra” is the highest ____________ award of India?,A. Military,B. Civilian,C. Academic,D. Political,A. Military
“Victoria Cross” is the highest _________ award of UK?,A. Military,B. Civilian,C. Academic,D. Political,A. Military
“Presidential Medal of Freedom” is the highest ________ award of the United States?,A. Military,B. Civilian,C. Academic,D. Political,B. Civilian
“Congressional Medal of Honour” is the highest _________ award of the United States?,A. Military,B. Civilian,C. Academic,D. Political,A. Military
Points that form a boundary between Asia and Europe are?,A. Ural mountain and River Ural,B. Part of Caspian Sea and Caucasus Mountains.,C. Option A&B,D. None of the above,C. Option A&B
The first oil well was drilled in the USA in the year ___________?,A. 1857,B. 1858,C. 1859,D. 1860,C. 1859
P.K Hitti was the person who wrote the history of __________?,A. Arab,B. Chinese,C. Europe,D. Portuguese,A. Arab
Elysee Palace is an official residence of __________?,A. Germany,B. France,C. Poland,D. Belgium,B. France
Sociology is ________ word.,A. Persian,B. Latin,C. Greek,D. English,B. Latin
First Women Speaker of US Congress is ___________?,A. Nancy Pelosi,B. Nancy Powell,C. Candoleeza Rice,D. Haillary Clintion,A. Nancy Pelosi
Middle East Treaty Organization (METO) and Baghdad Pact were the names of?,A. CENTO,B. SAARC,C. OECD,D. WTO,A. CENTO
The Joint Comprehensive Plan of Action is the official name of?,A. Paris Accord,B. Kyoto Protocol,C. Iran Nuclear Deal,D. US-Canada-Mexico Trade Deal,C. Iran Nuclear Deal
The “Me Too” movement was founded by?,A. Sherry Marts,B. Reid Hoffman,C. Tarana Burke,D. Erik Soleheim,C. Tarana Burke
The Black Sea is a body of water and marginal sea of the __________ ocean.,A. Indian,B. Atlantic,C. Arctic,D. Pacific,B. Atlantic
The United Nations International Day for Tolerance is observed on ___________?,A. 16 May,B. 16 Aug,C. 16 Nov,D. 16 Dec,C. 16 Nov
The Gomal pass is one of the most important trade routes from subcontinent to?,A. Iran,B. Afghanistan,C. India,D. None of these,B. Afghanistan
World Mangroves day is celebrated on__________?,A. July 25th,B. July 26th,C. July 27th,D. July 28th,B. July 26th
The Gulf of Carpentaria is located at northern coast of __________?,A. Canada,B. Russia,C. Australia,D. China,C. Australia
Nuuk is the capital and largest city of _________?,A. New Guinea,B. Greenland,C. Malagasy,D. Fiji,B. Greenland
Which African country has made ”floating island”______?,A. Uruguay,B. Nigeria,C. Ivory coast,D. Niger,C. Ivory coast
Who was the first governor general of bengal?,A. Warren hastings,B. Robert,C. William Bentinck,D. Lord cornwallis,A. Warren hastings
Tenure of House of representatives in US is ___________?,A. 4 years,B. 3 years,C. 2 years,D. 1 year,C. 2 years
Time duration of a Senator is __________?,A. 5 years,B. 6 years,C. 7 years,D. 8 years,B. 6 years
How many pieces has each player in chess game?,A. 12,B. 14,C. 16,D. 18,C. 16
Who is considered as “The Father of Chinese Artificial Satellite”?,A. Zhao Jiuzhang,B. Zhang Jie,C. Sir Charles Kuen Kao,D. Tsung-Dao Lee,A. Zhao Jiuzhang
Which physicist is called “the father of the Chinese atomic bomb”?,A. Frédéric Joliot-Curie,B. Qian Sanqiang,C. Chen-Ning Franklin Yang,D. Wang Ganchang,B. Qian Sanqiang
Google celebrated the _______ birthday in the honour of Dr Ruth Pfau’s?,A. 70th,B. 80th,C. 90th,D. None of these,C. 90th
Who is president of USA at the time of World War 1?,A. Abraham Lincoln,B. Woodrow wilson,C. George Washington,D. James Madison,B. Woodrow wilson
Which country has a Golden bridge that’s held up by a pair of Giant concrete hands?,A. USA,B. China,C. Vietnam,D. None of these,C. Vietnam
Penalty cards used in Football first introduced in which year?,A. 1970,B. 1974,C. 1996,D. None of these,A. 1970
Which country detonated its first nuclear device underground?,A. North Korea,B. China,C. USA,D. USSR,A. North Korea
In which country have scientists identified new species of dinosaur that was the largest ever discovered in the world?,A. Pakistan,B. China,C. India,D. Australia,D. Australia
Ancient city Kemune emerged in which country on September 2019?,A. Iran,B. Syria,C. Yemen,D. Iraq,D. Iraq
Kartarput corridor is _________ away from Gurdaspur in Punjab India.,A. 3 Km,B. 4 Km,C. 5 Km,D. 6 Km,A. 3 Km
The total length of Pakistan border is ___________.,A. 6774 KM,B. 6573 KM,C. 6744 KM,D. 6722 KM,A. 6774 KM
White Cane Day Observed on ?,A. 15 October,B. 17 October,C. 16 October,D. None of These,A. 15 October
Who is the founder of Abraaj Group (Dubai based equity fund)?,A. Fayeeza Naqvi,B. Badar Jafar,C. Arif naqvi,D. Sohail Anjum,C. Arif naqvi
